domain_idx,domain_name,n_in,n_out,a_top_in,b_top_out,c_not_top_in,d_not_top_out,odds_ratio,fisher_p,p_adj,median_pos_percentile,tau_cover_95,tau_cover_90,tau_all_in,layer_i,latent_ind,flattened_id,latent_i,latent_label,tau_input
4988,UDP-N-acetylmuramoylalanine-D-glutamate ligase MurD,12,9988,9,192,3,9796,153.0625,9.356589939202332e-14,1.1302760646556417e-10,0.990999099909991,0.9694969496949695,0.9753975397539754,0.9626962696269626,8,2775,6871,57,L8-2775,0.98
5684,Uridylate kinase,13,9987,9,192,4,9795,114.78515625,2.9883115911936223e-13,3.6098804021618956e-10,0.9847484748474847,0.9424942494249425,0.9511951195119512,0.9348934893489349,8,2775,6871,57,L8-2775,0.98
895,SIS domain,14,9986,9,192,5,9794,91.81875,8.222606544108556e-13,9.932908705283136e-10,0.9893489348934894,0.9103910391039104,0.9284928492849285,0.907090709070907,8,2775,6871,57,L8-2775,0.98
992,"Tryptophan synthase beta chain-like, PALP domain",15,9985,9,192,6,9793,76.5078125,2.020113626511603e-12,2.4402972608260165e-09,0.9826982698269827,0.9488948894889488,0.9591959195919592,0.9271927192719271,8,2775,6871,57,L8-2775,0.98
9167,"Tryptophan synthase beta chain-like, PALP domain superfamily",15,9985,9,192,6,9793,76.5078125,2.020113626511603e-12,2.4402972608260165e-09,0.9826982698269827,0.9488948894889488,0.9591959195919592,0.9271927192719271,8,2775,6871,57,L8-2775,0.98
8760,Rossmann-like alpha/beta/alpha sandwich fold,261,9739,26,175,235,9564,6.04654103343465,1.1948768372783646e-11,1.4434112194322644e-08,0.7877787778777878,0.5566556655665567,0.5756575657565757,0.47864786478647864,8,2775,6871,57,L8-2775,0.98
2046,Thioredoxin domain,24,9976,10,191,14,9785,36.59311892296186,1.3215482132699004e-11,1.5964302416300398e-08,0.9758475847584758,0.7512751275127513,0.7992799279927992,0.7158715871587159,8,2775,6871,57,L8-2775,0.98
835,Aspartate/glutamate/uridylate kinase,35,9965,11,190,24,9775,23.580043859649123,4.504955857386409e-11,5.441986675722782e-08,0.9476447644764476,0.8682868286828683,0.9006900690069007,0.8635863586358636,8,2775,6871,57,L8-2775,0.98
9324,Acetylglutamate kinase-like superfamily,35,9965,11,190,24,9775,23.580043859649123,4.504955857386409e-11,5.441986675722782e-08,0.9476447644764476,0.8682868286828683,0.9006900690069007,0.8635863586358636,8,2775,6871,57,L8-2775,0.98
10004,SIS domain superfamily,26,9974,9,192,17,9782,26.972426470588236,1.041104743968676e-09,1.2576545307141606e-06,0.9336933693369337,0.770977097709771,0.7783778377837783,0.7606760676067607,8,2775,6871,57,L8-2775,0.98
4991,Uracil phosphoribosyl transferase,14,9986,7,194,7,9792,50.47422680412372,3.638357564543794e-09,4.395135937968903e-06,0.9793979397939794,0.9647964796479648,0.9656965696569657,0.9643964396439644,8,2775,6871,57,L8-2775,0.98
7126,"Uracil phosphoribosyltransferase, bacterial-type",14,9986,7,194,7,9792,50.47422680412372,3.638357564543794e-09,4.395135937968903e-06,0.9793979397939794,0.9647964796479648,0.9656965696569657,0.9643964396439644,8,2775,6871,57,L8-2775,0.98
787,Phosphoribosyltransferase domain,53,9947,11,190,42,9757,13.44949874686717,5.998942807272984e-09,7.246722911185765e-06,0.9692469246924692,0.892989298929893,0.9140914091409141,0.85998599859986,8,2775,6871,57,L8-2775,0.98
9058,Phosphoribosyltransferase-like,53,9947,11,190,42,9757,13.44949874686717,5.998942807272984e-09,7.246722911185765e-06,0.9692469246924692,0.892989298929893,0.9140914091409141,0.85998599859986,8,2775,6871,57,L8-2775,0.98
9256,Thioredoxin-like superfamily,45,9955,10,191,35,9764,14.605833956619296,1.4882968519536396e-08,1.7978625971599967e-05,0.9097409740974097,0.4077407740774077,0.5272527252725272,0.266026602660266,8,2775,6871,57,L8-2775,0.98
1841,Methylglyoxal synthase-like domain,11,9989,6,195,5,9794,60.27076923076923,2.6010964732159886e-08,3.142124539644914e-05,0.9955495549554956,0.9581958195819582,0.960996099609961,0.9551955195519551,8,2775,6871,57,L8-2775,0.98
9573,Methylglyoxal synthase-like domain superfamily,11,9989,6,195,5,9794,60.27076923076923,2.6010964732159886e-08,3.142124539644914e-05,0.9955495549554956,0.9581958195819582,0.960996099609961,0.9551955195519551,8,2775,6871,57,L8-2775,0.98
7657,Uracil phosphoribosyltransferase/Adenine phosphoribosyltransferase,26,9974,7,194,19,9780,18.5729788388497,5.680403040959984e-07,0.000686192687347966,0.9661216121612162,0.9116911691169117,0.9206920692069207,0.85998599859986,8,2775,6871,57,L8-2775,0.98
297,"Thioredoxin, conserved site",10,9990,4,197,6,9793,33.1404399323181,3.0260418576162932e-05,0.03655458564000482,0.9385688568856886,0.7311731173117312,0.7462746274627463,0.7158715871587159,8,2775,6871,57,L8-2775,0.98
4562,RNA methyltransferase RlmH,18,9982,17,183,1,9799,910.2896174863388,1.1676525673529285e-28,1.4105243013623377e-25,0.9951745174517452,0.8802880288028803,0.991899189918992,0.5083508350835083,8,2166,6262,53,L8-2166,0.98
5810,Large ribosomal subunit protein uL23-like,18,9982,16,184,2,9798,426.0,5.291825657641192e-26,6.392525394430559e-23,0.9902490249024902,0.9726972697269727,0.9798979897989799,0.9405940594059405,8,2166,6262,53,L8-2166,0.98
8719,Ribosomal protein uL23/eL15/eS24 core domain superfamily,19,9981,16,184,3,9797,283.9710144927536,3.2933528025914313e-25,3.978370185530449e-22,0.9894989498949895,0.9194919491949195,0.9707970797079708,0.7302730273027302,8,2166,6262,53,L8-2166,0.98
472,"Large ribosomal subunit protein uL3, conserved site",15,9985,14,186,1,9799,737.5591397849462,1.5298275144616965e-23,1.8480316374697295e-20,0.9960996099609961,0.9640964096409641,0.9893989398939894,0.9097909790979097,8,2166,6262,53,L8-2166,0.98
6252,"Large ribosomal subunit protein uL3, bacterial/organelle-type",15,9985,14,186,1,9799,737.5591397849462,1.5298275144616965e-23,1.8480316374697295e-20,0.9960996099609961,0.9838983898389839,0.9893989398939894,0.9750975097509751,8,2166,6262,53,L8-2166,0.98
3852,Large ribosomal subunit protein uL3,16,9984,14,186,2,9798,368.741935483871,1.2025856659222584e-22,1.452723484434088e-19,0.9960496049604961,0.9586958695869587,0.9813981398139814,0.9097909790979097,8,2166,6262,53,L8-2166,0.98
9039,"tRNA (guanine-N1-)-methyltransferase, N-terminal",39,9961,18,182,21,9779,46.05494505494506,5.232768580979418e-21,6.321184445823137e-18,0.9614961496149615,0.5083508350835083,0.5341534153415342,0.5083508350835083,8,2166,6262,53,L8-2166,0.98
9040,Alpha/beta knot methyltransferases,39,9961,18,182,21,9779,46.05494505494506,5.232768580979418e-21,6.321184445823137e-18,0.9614961496149615,0.5083508350835083,0.5341534153415342,0.5083508350835083,8,2166,6262,53,L8-2166,0.98
5007,Large ribosomal subunit protein uL13,13,9987,12,188,1,9799,625.4680851063829,3.7619494040230964e-20,4.5444348800599004e-17,0.9951995199519952,0.9824982498249825,0.9896989698969897,0.9726972697269727,8,2166,6262,53,L8-2166,0.98
5008,"Large ribosomal subunit protein uL13, bacterial-type",13,9987,12,188,1,9799,625.4680851063829,3.7619494040230964e-20,4.5444348800599004e-17,0.9951995199519952,0.9824982498249825,0.9896989698969897,0.9726972697269727,8,2166,6262,53,L8-2166,0.98
9565,Large ribosomal subunit protein uL13 superfamily,13,9987,12,188,1,9799,625.4680851063829,3.7619494040230964e-20,4.5444348800599004e-17,0.9951995199519952,0.9824982498249825,0.9896989698969897,0.9726972697269727,8,2166,6262,53,L8-2166,0.98
2729,"Large ribosomal subunit protein uL5, C-terminal",10,9990,10,190,0,9800,1080.3700787401576,8.183776315505496e-18,9.886001789130639e-15,0.9993499349934993,0.997999799979998,0.9981998199819982,0.9978997899789979,8,2166,6262,53,L8-2166,0.98
2730,"Large ribosomal subunit protein uL5, N-terminal",10,9990,10,190,0,9800,1080.3700787401576,8.183776315505496e-18,9.886001789130639e-15,0.9993499349934993,0.997999799979998,0.9981998199819982,0.9978997899789979,8,2166,6262,53,L8-2166,0.98
4244,Large ribosomal subunit protein uL5,10,9990,10,190,0,9800,1080.3700787401576,8.183776315505496e-18,9.886001789130639e-15,0.9993499349934993,0.997999799979998,0.9981998199819982,0.9978997899789979,8,2166,6262,53,L8-2166,0.98
185,"Large ribosomal subunit protein uL23, conserved site",11,9989,10,190,1,9799,515.7368421052631,8.846506549664047e-17,1.0686579911994169e-13,0.9886988698869887,0.9605960596059606,0.9806980698069807,0.9405940594059405,8,2166,6262,53,L8-2166,0.98
8718,Nucleotide-binding alpha-beta plait domain superfamily,47,9953,16,184,31,9769,27.402524544179524,3.1293367997031207e-16,3.78023885404137e-13,0.8833883388338833,0.5083508350835083,0.5083508350835083,0.5083508350835083,8,2166,6262,53,L8-2166,0.98
8872,Large ribosomal subunit protein uL5 domain superfamily,12,9988,10,190,2,9798,257.8421052631579,5.216135227769166e-16,6.301091355145152e-13,0.9991499149914991,0.5502550255025502,0.812981298129813,0.5083508350835083,8,2166,6262,53,L8-2166,0.98
3738,Ribonuclease P,12,9988,9,191,3,9797,153.87958115183247,8.94009556051255e-14,1.079963543709916e-10,0.9898989898989898,0.9688968896889689,0.9747974797479748,0.9622962296229624,8,2166,6262,53,L8-2166,0.98
187,"Large ribosomal subunit protein uL15, conserved site",12,9988,9,191,3,9797,153.87958115183247,8.94009556051255e-14,1.079963543709916e-10,0.9846484648464846,0.9613961396139614,0.9666966696669667,0.9550955095509551,8,2166,6262,53,L8-2166,0.98
