layer_id,latent_ind,flattened_id,latent_i,domain_idx,entry_name,n_in,n_out,mwu_p,mwu_p_adj,mwu_auc,prevalence,summary_kind,k_1x,precision_1x,lift_1x,or_topk_1x,fisher_p_1x,k_2x,precision_2x,lift_2x,or_topk_2x,fisher_p_2x,fisher_p_adj_1x,fisher_p_adj_2x
24,1909,22389,302,1206,AAA+ ATPase domain,175,9825,1.1819759999033423e-109,3.356811839725492e-107,0.9878432569974555,0.0175,topq,175,0.6514285714285715,37.224489795918366,299.13894114485356,2.5304118336959698e-174,350,0.44,25.142857142857142,360.2687074829932,3.7211593688631883e-215,7.186369607696555e-172,1.0568092607571455e-212
16,2536,14824,151,1206,AAA+ ATPase domain,175,9825,1.0785954312147671e-107,3.0632110246499385e-105,0.977551145038168,0.0175,topq,175,0.5714285714285714,32.65306122448979,173.33333333333331,2.0521097213996065e-141,350,0.3628571428571429,20.73469387755102,113.92507473841555,1.1160628588868586e-153,5.827991608774882e-139,3.169618519238678e-151
20,1505,17889,202,1206,AAA+ ATPase domain,175,9825,8.504083945026536e-107,2.415159840387536e-104,0.9809544165757906,0.0175,topq,175,0.5485714285714286,31.346938775510203,149.91443678897613,1.3425215759792275e-132,350,0.3057142857142857,17.46938775510204,62.04756717501815,2.607060032100655e-115,3.8127612757810065e-130,7.40405049116586e-113
12,1204,9396,72,9559,Histidine kinase/HSP90-like ATPase superfamily,31,9969,1.2034361814676208e-86,3.417758755368043e-84,0.9887845870585913,0.0031,topq,31,0.6774193548387096,218.52237252861602,2091.3900000000003,1.0165809684795294e-49,62,0.3387096774193548,109.26118626430801,508.5073170731707,4.096717184677805e-41,2.8870899504818636e-47,1.1634676804484966e-38
12,2112,10304,80,9059,Alpha/Beta hydrolase fold,63,9937,8.753700938204992e-85,2.4860510664502178e-82,1.0,0.0063,topq,63,1.0,158.73015873015873,2524125.0,2.4111925520552505e-165,126,0.5,79.36507936507937,19749.0,1.4551388963649666e-128,6.847786847836912e-163,4.132594465676505e-126
12,1256,9448,73,1395,Small GTP-binding domain,128,9872,3.46656608306286e-84,9.845047675898523e-82,0.9934374841724068,0.0128,topq,128,0.640625,50.048828125,380.7807183364839,1.1663286746046846e-135,256,0.44140625,34.48486328125,512.5300699300699,4.469786651466192e-174,3.3123734358773043e-133,1.2694194090163985e-171
24,3996,24476,355,1395,Small GTP-binding domain,128,9872,1.8069626450631095e-82,5.131773911979231e-80,0.9929321882597245,0.0128,topq,128,0.546875,42.724609375,204.21521997621878,2.045571615871544e-106,256,0.4609375,36.0107421875,832.3275362318841,4.8926904794336963e-188,5.809423389075184e-104,1.3895240961591697e-185
12,2797,10989,89,8673,Ribulose-phosphate binding barrel,76,9924,2.6784843212820677e-80,7.606895472441072e-78,0.9960635036806041,0.0076,topq,76,0.6447368421052632,84.83379501385042,665.2304526748972,5.160302201071458e-93,152,0.4144736842105263,54.536011080332415,535.5272255834053,1.3149142392848907e-107,1.465525825104294e-90,3.73435643956909e-105
12,1796,9988,77,9559,Histidine kinase/HSP90-like ATPase superfamily,31,9969,1.3649976568225258e-53,3.8765933453759736e-51,1.0,0.0031,topq,31,1.0,322.5806451612903,1256157.0,8.614637847993903e-91,62,0.5,161.29032258064515,19877.0,4.009496707482248e-73,2.4465571488302686e-88,1.1386970649249584e-70
16,1504,13792,136,9059,Alpha/Beta hydrolase fold,63,9937,7.135226859964426e-52,2.026404428229897e-49,0.9999968052700265,0.0063,topq,63,0.9841269841269841,156.21063240110857,616032.0,1.509483695748253e-159,126,0.5,79.36507936507937,19749.0,1.4551388963649666e-128,4.286933695925039e-157,4.132594465676505e-126
12,1377,9569,74,9235,FAD/NAD(P)-binding domain superfamily,75,9925,1.9671903949788e-51,5.586820721739792e-49,0.9978176322418136,0.0075,topq,75,0.92,122.66666666666667,19011.416666666668,8.746165754191279e-162,150,0.49333333333333335,65.77777777777779,9589.815789473683,2.9568370169456425e-143,2.4839110741903233e-159,8.397417128125625e-141
20,878,17262,192,8644,Protein kinase-like domain superfamily,78,9922,2.259252068722638e-51,6.416275875172292e-49,0.9604356286728792,0.0078,topq,78,0.8461538461538461,108.48126232741618,4542.083333333333,1.2549455840040933e-144,156,0.42948717948717946,55.062458908612754,672.9427987742595,3.985184170682431e-116,3.564045458571625e-142,1.1317923044738104e-113
24,2848,23328,327,8644,Protein kinase-like domain superfamily,78,9922,6.865426323037973e-51,1.9497810757427842e-48,0.9876614516304095,0.0078,topq,78,0.8205128205128205,105.19395134779751,3235.2653061224487,1.5961763847230913e-137,156,0.4230769230769231,54.24063116370809,600.8444444444445,2.4314297052360537e-113,4.5331409326135794e-135,6.905260362870392e-111
24,1822,22302,297,8644,Protein kinase-like domain superfamily,78,9922,3.4735836492550375e-50,9.864977563884307e-48,0.9818946759079796,0.0078,topq,78,0.8205128205128205,105.19395134779751,3235.2653061224487,1.5961763847230913e-137,156,0.44871794871794873,57.52794214332676,1000.7558139534884,8.599796615190654e-125,4.5331409326135794e-135,2.442342238714146e-122
28,213,24789,359,8673,Ribulose-phosphate binding barrel,76,9924,1.6554598131649887e-49,4.701505869388568e-47,0.9900944546978087,0.0076,topq,76,0.5657894736842105,74.44598337950139,390.55371900826447,7.674290992683518e-77,152,0.3815789473684211,50.20775623268698,336.96217494089836,1.507021095694658e-94,2.179498641922119e-74,4.279939911772829e-92
20,3616,20000,245,9059,Alpha/Beta hydrolase fold,63,9937,6.96686025617926e-49,1.9785883127549097e-46,0.9999281185755977,0.0063,topq,63,0.9682539682539683,153.69110607205846,151508.75,2.3247370315555028e-154,126,0.5,79.36507936507937,19749.0,1.4551388963649666e-128,6.602253169617628e-152,4.132594465676505e-126
20,878,17262,192,767,Protein kinase domain,63,9937,7.903907620311239e-49,2.244709764168392e-46,0.9985527873220336,0.0063,topq,63,0.9841269841269841,156.21063240110857,616032.0,1.509483695748253e-159,126,0.49206349206349204,78.10531620055428,9564.46875,1.4144995953749243e-124,4.286933695925039e-157,4.017178850864785e-122
