Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
MetX,16,3679,0.9584685564041138,IPR000836,Phosphoribosyltransferase domain,10.035107612609863,3.9111440181732178,6.123963356018066,1.3593897819519043,1.3311769029227662e-22
MetX,16,3679,0.9609216451644897,IPR004821,Cytidyltransferase-like domain,10.19047737121582,3.9204015731811523,6.270075798034668,1.37814462184906,4.6316550990571984e-14
MetX,16,3679,0.9503390789031982,IPR006131,"Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain",9.538372993469238,3.9340739250183105,5.604299068450928,1.2777154445648193,0.01890822872519493
MetX,16,3679,0.9503390789031982,IPR006132,"Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding",9.538372993469238,3.9340739250183105,5.604299068450928,1.2777154445648193,0.01890822872519493
MetX,16,3679,0.9801588654518127,IPR016009,tRNA methyltransferase TRMD/TRM10-type domain,10.7138671875,3.932751417160034,6.781115531921387,1.4458646774291992,0.0043086158111691475
MetX,16,3679,0.9532321691513062,IPR019489,"Clp ATPase, C-terminal",9.635459899902344,3.9327659606933594,5.702693939208984,1.2928054332733154,0.00117121625225991
MetX,16,3679,0.9904809594154358,IPR000850,Adenylate kinase/UMP-CMP kinase,11.451367378234863,3.928555488586426,7.5228118896484375,1.543445348739624,4.607696610037237e-06
MetX,16,3679,0.9846473932266235,IPR001980,Phosphopantetheine adenylyltransferase,10.96657943725586,3.9309370517730713,7.035642623901367,1.4801647663116455,0.00016061463975347579
MetX,16,3679,0.9801588654518127,IPR002649,tRNA (guanine-N1-)-methyltransferase TrmD,10.7138671875,3.932751417160034,6.781115531921387,1.4458646774291992,0.0043086158111691475
MetX,16,3679,0.9818785190582275,IPR003742,RNA methyltransferase RlmH,10.807291984558105,3.9312238693237305,6.876068115234375,1.4589509963989258,0.0002155124966520816
MetX,16,3679,0.9503390789031982,IPR006130,Aspartate/ornithine carbamoyltransferase,9.538372993469238,3.9340739250183105,5.604299068450928,1.2777154445648193,0.01890822872519493
MetX,16,3679,0.9895941019058228,IPR006259,Adenylate kinase subfamily,11.354549407958984,3.930981159210205,7.423568248748779,1.5303055047988892,0.0004076017939951271
MetX,16,3679,0.9558795094490051,IPR050054,Uracil phosphoribosyltransferase/Adenine phosphoribosyltransferase,10.025440216064453,3.9277470111846924,6.09769344329834,1.3518880605697632,1.2824862949400995e-07
MetX,16,3679,0.9801588654518127,IPR023148,"tRNA (guanine-N(1)-)-methyltransferase, C-terminal domain superfamily",10.7138671875,3.932751417160034,6.781115531921387,1.4458646774291992,0.0043086158111691475
MetX,16,3679,0.9701876044273376,IPR029026,"tRNA (guanine-N1-)-methyltransferase, N-terminal",10.485676765441895,3.917987108230591,6.567689895629883,1.420231819152832,4.721522584255448e-16
MetX,16,3679,0.9701876044273376,IPR029028,Alpha/beta knot methyltransferases,10.485676765441895,3.917987108230591,6.567689895629883,1.420231819152832,4.721522584255448e-16
MetX,16,3679,0.9584685564041138,IPR029057,Phosphoribosyltransferase-like,10.035107612609863,3.9111440181732178,6.123963356018066,1.3593897819519043,1.3311769029227662e-22
MetX,16,3679,0.9503390789031982,IPR036901,Aspartate/ornithine carbamoyltransferase superfamily,9.538372993469238,3.9340739250183105,5.604299068450928,1.2777154445648193,0.01890822872519493
MetX,16,3763,0.9614195227622986,IPR018280,"Small ribosomal subunit protein uS3, conserved site",1.748748779296875,0.5020523071289062,1.2466964721679688,1.8003846406936646,0.0009467383497394621
MetX,16,3763,0.9844614267349243,IPR022631,"S-adenosylmethionine synthetase, conserved site",2.198230028152466,0.5006519556045532,1.6975780725479126,2.1344335079193115,1.106730138644707e-07
MetX,16,3763,0.9713818430900574,IPR001305,"Heat shock protein DnaJ, cysteine-rich domain",2.012974739074707,0.5013260841369629,1.5116486549377441,2.005479097366333,1.4524794096359983e-05
MetX,16,3763,0.9614195227622986,IPR001351,"Small ribosomal subunit protein uS3, C-terminal",1.748748779296875,0.5020523071289062,1.2466964721679688,1.8003846406936646,0.0009467383497394621
MetX,16,3763,0.965244472026825,IPR002939,"Chaperone DnaJ, C-terminal",1.9694771766662598,0.5012574195861816,1.4682197570800781,1.9741603136062622,6.5755843934312e-06
MetX,16,3763,0.9517325758934021,IPR008880,"Trigger factor, C-terminal",1.6590033769607544,0.5019643902778625,1.157038927078247,1.7246311902999878,0.0001449705450795591
MetX,16,3763,0.9517325758934021,IPR008881,"Trigger factor, ribosome-binding, bacterial",1.6590033769607544,0.5019643902778625,1.157038927078247,1.7246311902999878,0.0001449705450795591
MetX,16,3763,0.9844614267349243,IPR022628,"S-adenosylmethionine synthetase, N-terminal",2.198230028152466,0.5006519556045532,1.6975780725479126,2.1344335079193115,1.106730138644707e-07
MetX,16,3763,0.9844614267349243,IPR022629,"S-adenosylmethionine synthetase, central domain",2.198230028152466,0.5006519556045532,1.6975780725479126,2.1344335079193115,1.106730138644707e-07
MetX,16,3763,0.9844614267349243,IPR022630,"S-adenosylmethionine synthetase, C-terminal",2.198230028152466,0.5006519556045532,1.6975780725479126,2.1344335079193115,1.106730138644707e-07
MetX,16,3763,0.9844614267349243,IPR002133,S-adenosylmethionine synthetase,2.198230028152466,0.5006519556045532,1.6975780725479126,2.1344335079193115,1.106730138644707e-07
MetX,16,3763,0.9517325758934021,IPR005215,Trigger factor,1.6590033769607544,0.5019643902778625,1.157038927078247,1.7246311902999878,0.0001449705450795591
MetX,16,3763,0.9614195227622986,IPR005704,"Small ribosomal subunit protein uS3, bacterial-type",1.748748779296875,0.5020523071289062,1.2466964721679688,1.8003846406936646,0.0009467383497394621
MetX,16,3763,0.9891705513000488,IPR005822,Large ribosomal subunit protein uL13,2.398287296295166,0.5015813708305359,1.8967058658599854,2.257420063018799,0.007612112443894148
MetX,16,3763,0.9891705513000488,IPR005823,"Large ribosomal subunit protein uL13, bacterial-type",2.398287296295166,0.5015813708305359,1.8967058658599854,2.257420063018799,0.007612112443894148
MetX,16,3763,0.9713818430900574,IPR012724,Chaperone DnaJ,2.012974739074707,0.5013260841369629,1.5116486549377441,2.005479097366333,1.4524794096359983e-05
