Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
2pkea,12,264,0.9570415616035461,IPR005727,"Large ribosomal subunit protein uL22, bacterial/chloroplast-type",3.835644483566284,1.2028181552886963,2.632826328277588,1.6730384826660156,0.00015946802159305662
2pkea,12,264,0.9754576086997986,IPR005841,Alpha-D-phosphohexomutase superfamily,4.89404296875,1.2021769285202026,3.691865921020508,2.0253655910491943,0.005073857493698597
2pkea,12,264,0.9977905750274658,IPR013126,Heat shock protein 70 family,15.758428573608398,1.1760023832321167,14.582426071166992,3.7441484928131104,6.251882211927295e-08
2pkea,12,264,0.9864829778671265,IPR019981,"Small ribosomal subunit protein uS11, bacterial-type",7.222070217132568,1.1960316896438599,6.026038646697998,2.594144821166992,5.172940291231498e-06
2pkea,12,264,0.9807230830192566,IPR022898,Ribonuclease HII,5.685317039489746,1.200459599494934,4.484857559204102,2.2436418533325195,0.0007384014897979796
2pkea,12,264,0.9658287167549133,IPR023434,"Argininosuccinate synthase, type 1 subfamily",4.216797351837158,1.203563928604126,3.0132334232330322,1.8088228702545166,0.0478503443300724
2pkea,12,264,0.9570415616035461,IPR047867,"Large ribosomal subunit protein uL22, bacterial/organelle-type",3.835644483566284,1.2028181552886963,2.632826328277588,1.6730384826660156,0.00015946802159305662
2pkea,12,264,0.9753194451332092,IPR016055,"Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III",4.875260353088379,1.2014710903167725,3.6737892627716064,2.020665407180786,0.00031509576365351677
2pkea,12,264,0.9713141918182373,IPR016185,Pre-ATP-grasp domain superfamily,4.6272993087768555,1.2005449533462524,3.4267544746398926,1.9464689493179321,2.0181712443445576e-06
2pkea,12,264,0.9544323086738586,IPR023214,HAD superfamily,4.1102118492126465,1.2011018991470337,2.9091100692749023,1.7748421430587769,1.3258938906801632e-06
2pkea,12,264,0.9658287167549133,IPR024074,"Argininosuccinate synthetase, catalytic/multimerisation domain body",4.216797351837158,1.203563928604126,3.0132334232330322,1.8088228702545166,0.0478503443300724
2pkea,12,264,0.9830741882324219,IPR029001,Inosine triphosphate pyrophosphatase-like,6.467830657958984,1.199126958847046,5.268703460693359,2.4312853813171387,0.0005818397039547563
2pkea,12,264,0.9977667331695557,IPR029047,"Heat shock protein 70kD, peptide-binding domain superfamily",15.768254280090332,1.1774431467056274,14.590810775756836,3.743281364440918,2.8710755373140273e-07
2pkea,12,264,0.9976653456687927,IPR029048,"Heat shock protein 70kD, C-terminal domain superfamily",15.7047119140625,1.179032564163208,14.525679588317871,3.7355096340179443,1.332538772658154e-06
2pkea,12,264,0.9529768228530884,IPR036393,Acetylglutamate kinase-like superfamily,3.737032651901245,1.1992013454437256,2.5378313064575195,1.6398072242736816,1.6157206865832774e-12
2pkea,12,264,0.9573184251785278,IPR036394,Ribosomal protein uL22 superfamily,3.8427734375,1.2017452716827393,2.6410281658172607,1.6770048141479492,8.98742939625663e-07
2pkea,12,264,0.956430196762085,IPR036412,HAD-like superfamily,4.18145227432251,1.201229214668274,2.9802231788635254,1.799480676651001,3.644745220299228e-06
2pkea,12,264,0.980177640914917,IPR036416,Peptidyl-tRNA hydrolase superfamily,5.7147216796875,1.2008615732192993,4.51386022567749,2.250601291656494,0.0032443846575915813
2pkea,12,264,0.9753194451332092,IPR036900,"Alpha-D-phosphohexomutase, C-terminal domain superfamily",4.875260353088379,1.2014710903167725,3.6737892627716064,2.020665407180786,0.00031509576365351677
2pkea,12,264,0.984711229801178,IPR036967,Small ribosomal subunit protein uS11 superfamily,6.84521484375,1.1945221424102783,5.650692939758301,2.5186500549316406,1.991487685870652e-08
2pkea,12,264,0.9977746605873108,IPR043129,"ATPase, nucleotide binding domain",13.121642112731934,1.093819499015808,12.027822494506836,3.5844883918762207,0.0
2pkea,12,387,0.9791527986526489,IPR033128,"Adenylosuccinate synthase, active site",1.8128662109375,0.32599687576293945,1.4868693351745605,2.4752981662750244,2.622411329866736e-06
