layer,unit,domain,aggregator,n_pos,n_neg,auc,ci_lo,ci_hi,U,p_mwu,auc_from_U,auc_matches_U,rho_len_pos,rho_len_neg,qval
12,3943,IPR036890,topq,1700,1737,0.9952627925090588,0.9928219165904705,0.9974192150089742,2938911.5,0.0,0.9952627925090589,True,-0.5877011242385658,0.0576380322280775,0.0
12,3943,IPR036890,mean,1700,1737,0.8637896643977107,0.8518141869010125,0.8761340461918792,2550684.5,6.87714879941309e-299,0.8637896643977108,True,0.024671563178882566,-0.09053917646182719,1.1716623880481561e-298
12,3943,IPR036890,topk,1700,1737,0.9932796572860577,0.9901294659487283,0.9961286277896305,2933055.5,0.0,0.9932796572860578,True,0.598205351511813,0.266830631216955,0.0
12,1796,IPR036890,max,1700,1737,0.9936315147820787,0.9904245826137018,0.9964009152020049,2934094.5,0.0,0.9936315147820787,True,-0.008668122864841114,0.20607534238313352,0.0
12,1796,IPR036890,topq,1700,1737,0.9942739340986826,0.9912583096278236,0.9968153298452369,2935991.5,0.0,0.9942739340986827,True,-0.10743828779272478,0.11469121746225244,0.0
12,1796,IPR036890,mean,1700,1737,0.99391462629957,0.9911466185783466,0.9963080150022012,2934930.5,0.0,0.99391462629957,True,-0.6126248820439366,-0.06026699746820492,0.0
12,1796,IPR036890,topk,1700,1737,0.9935868129635274,0.9902939906532562,0.9963145128517729,2933962.5,0.0,0.9935868129635274,True,0.1065761916981749,0.24128260262680587,0.0
12,1204,IPR036890,max,1700,1737,0.9605286328693827,0.9548932786413354,0.9659928079176402,2836345.0,0.0,0.9605286328693826,True,0.4702035774104984,0.18711118314380468,0.0
12,1204,IPR036890,topq,1700,1737,0.9735378780182193,0.9690044828812353,0.9779413330962782,2874760.0,0.0,0.9735378780182193,True,0.4089230469873807,0.09380367215642867,0.0
12,1204,IPR036890,mean,1700,1737,0.8340373869755157,0.8200583113210741,0.8483946840394189,2462829.0,2.1957812120584476e-252,0.8340373869755155,True,-0.0002269991014202273,-0.06792852029653386,3.206537643005987e-252
12,1204,IPR036890,topk,1700,1737,0.9557326695790579,0.9499651655999186,0.9615878077483153,2822183.0,0.0,0.9557326695790579,True,0.4420909756631419,0.21682870244111896,0.0
12,1145,IPR036890,max,1700,1737,0.995198279657286,0.9927267559009787,0.9973240331538488,2938721.0,0.0,0.995198279657286,True,-0.29113694972137444,0.017561744292170344,0.0
12,1145,IPR036890,topq,1700,1737,0.9955558942056961,0.9932450599410748,0.9975939965796335,2939777.0,0.0,0.9955558942056961,True,-0.3564805596134336,-0.04650626761160347,0.0
12,1145,IPR036890,mean,1700,1737,0.9670534051271632,0.9612314631379323,0.9725609866571844,2855612.0,0.0,0.9670534051271631,True,-0.37482122501101917,-0.1519188454647341,0.0
12,1145,IPR036890,topk,1700,1737,0.9929889261404041,0.9895075264993735,0.9959006400487656,2932197.0,0.0,0.9929889261404043,True,0.5189190994821766,0.17563202162742153,0.0
